"","phylum","order","family","genus","species","num_occurrences","elevation_median","elevation_mad","TRI_median","annual_temp","diurnal_temp_range_median","temp_seasonality","temp_driest_quarter","temp_coldest_quarter","annual_precip","precip_driest_quarter","precip_seasonality","habitat","habitat_num","evapotranspiration","evaporation","transpiration","interception","aridity_index","range_size","growth_form"
"1","Tracheophyta","Apiales","Apiaceae","Ammi","Ammi majus",18,283.787536621094,298.289218052673,57.6435711047653,20.2126551678904,17.0599393886252,342.444224447446,24.6512394360782,16.4196743414207,317.337257218022,2.74070807704347,87.1961988152718,"308, 1403, 201, 305, 1401, 1402, 1405",7,243.246688842773,77.2996253967147,150.963676452637,0.430516377091465,1.30459024428135,9315.54,"Annual Herbaceous"
"2","Tracheophyta","Apiales","Apiaceae","Astydamia","Astydamia latifolia",665,13.7676525115967,14.685917533493,26.0630931759321,21.7584159143359,14.4029959056105,250.399873171787,24.6356270083725,18.6077045642715,214.237121974192,1.34061050419934,87.6209310747793,"201, 1401, 801, 1405, 802, 500, 305, 405, 1402, 105, 308, 104, 1403",13,323.636505126044,197.194229125814,11.6444826126266,0,0.661968345909418,54956.45,"Perennial Herbaceous"
"3","Tracheophyta","Apiales","Apiaceae","Bupleurum","Bupleurum salicifolium",64,663.56787109375,170.058219689941,115.950482077879,18.5640707415711,17.4247154938641,316.134544195888,22.7488986847321,14.4009569254072,402.801811633021,5.45351953440423,89.1262774499713,"201, 104, 308, 1403, 1402, 305, 1401",7,342.306594848794,58.4479274749553,285.484313965114,1.25921612977956,1.17672816619542,13355.32,"Derived Woodiness"
"4","Tracheophyta","Apiales","Apiaceae","Conium","Conium maculatum",19,641.41015625,112.750083068848,28.4692902449623,17.7559035038569,17.0585179077023,331.321969072289,23.1764267029618,13.4059091395152,522.129535979478,12.2260421985456,72.3805450523475,"1403, 104, 1402, 1401, 308, 105, 305, 1405",8,262.665832519759,62.5890502929688,197.163299560827,0.814933717255101,1.98780911461029,3066.32,"Perennial Herbaceous"
"5","Tracheophyta","Apiales","Apiaceae","Crithmum","Crithmum maritimum",158,17.8984308242798,18.3573693454742,47.8127533602026,21.3721679371875,13.6044969688815,219.174193203997,24.4419462303847,18.5577914598797,323.717179958668,7.65817581847424,76.7573008358398,"1401, 201, 1402, 1405, 405, 802, 1403, 500, 105, 308, 104, 305",12,574.999145506101,533.894927977172,23.7543220519593,9.16431561716816e-13,0.562987236570134,22220.29,"Perennial Herbaceous"
"6","Tracheophyta","Apiales","Apiaceae","Daucus","Daucus carota",70,582.505340576172,229.806302911377,58.7971019236465,18.6217220397748,14.125769385152,274.761058855746,22.3050963990997,15.246741206574,587.182025702795,8.49346166592378,84.8392837863991,"308, 1403, 201, 305, 404, 1401, 1402, 104, 500, 1405",10,375.417312622107,49.6156654357936,313.177597045863,4.48981761931007,1.56407817636756,20711.06,"Perennial Herbaceous"
"7","Tracheophyta","Apiales","Apiaceae","Daucus","Daucus elegans",43,753.006042480469,203.679142785645,101.63558029303,18.3384586746793,12.1979044930753,251.268137656809,21.7914472145276,15.1770285342241,649.925467382385,13.9213247578954,74.1506359469585,"1403, 308, 104, 1402, 201, 1401",6,823.775085449219,50.85464096064,759.852294921875,19.3060016631589,0.788959849432651,20711.06,"Perennial Herbaceous"
"8","Tracheophyta","Apiales","Apiaceae","Drusa","Drusa glandulosa",135,562.863586425781,435.475110461426,75.1783967522262,19.3525957106087,16.4842814656919,296.521944231474,23.4579111113246,15.6190689963714,504.177846375423,5.94203753078359,86.6230166359911,"308, 1403, 104, 201, 1402, 105, 1401, 305, 1405, 405, 802",11,453.513305664086,64.1018295288063,361.311676025268,3.16887521743544,1.11171566540291,34648.04,"Annual Herbaceous"
"9","Tracheophyta","Apiales","Apiaceae","Foeniculum","Foeniculum vulgare",398,530.102020263672,308.502804116821,51.8183357099847,18.9727790785904,15.61002518207,277.98818316483,22.8790043565365,15.3084672170105,485.049446775705,5.75995516444212,84.7197846277126,"1403, 305, 1402, 308, 1401, 405, 1405, 201, 104, 801, 500, 802",12,315.616516113192,58.6690883636122,240.508644103961,1.25183159112844,1.5368316359013,51956.1,"Perennial Herbaceous"
"10","Tracheophyta","Apiales","Apiaceae","Scandix","Scandix pecten-veneris",33,727.765563964844,289.960598986816,68.3062097915884,17.8915107056551,17.029904474324,326.699395974624,23.0270968541092,13.576298305281,463.410468396414,2.55379555854026,89.2469529190812,"105, 308, 201, 305, 1403, 1405, 405, 104, 1402, 802, 1401",11,270.095733642417,58.0344581604004,200.984481811523,1.09016001224695,1.71572672454697,44725.07,"Annual Herbaceous"
